service,asset_class,symbol,classification,primary_value,bid,ask,age_seconds,timestamp_utc,timestamp_source,error_type,error_message,latency_ms,rpc_calls,notes
vwap,crypto,UNIETHUSDC,error,,,,,,,BlocksizeAPIError[-32603],internal error,155,0,
vwap,crypto,UNIETHUSDT,error,,,,,,,BlocksizeAPIError[-32603],internal error,182,0,
vwap,crypto,UNIETHWETH,stale,1.133377640686888,,,80989.4,2026-09-23T16:13:07.898000+00:00,upstream,,,189,1,age 80989s > 300s
vwap,crypto,UNIEUR,ok,8.140878823587288,,,11.0,2026-09-24T14:42:46.509000+00:00,upstream,,,163,1,
vwap,crypto,UNIEURS,error,,,,,,,BlocksizeAPIError[-32603],internal error,186,0,
vwap,crypto,UNIFARM,error,,,,,,,BlocksizeAPIError[-32603],internal error,173,0,
vwap,crypto,UNIGBP,stale,6.940069913039611,,,1470.9,2026-09-24T14:18:27.167000+00:00,upstream,,,197,1,age 1471s > 300s
vwap,crypto,UNIGNS,stale,19.82805902434251,,,19875.4,2026-09-24T09:11:42.817000+00:00,upstream,,,182,1,age 19875s > 300s
vwap,crypto,UNIGRT,stale,362.5469826166474,,,29414.9,2026-09-24T06:32:43.601000+00:00,upstream,,,183,1,age 29415s > 300s
vwap,crypto,UNIHIGH,stale,298.6429114271945,,,77677.9,2026-09-23T17:08:20.727000+00:00,upstream,,,158,1,age 77678s > 300s
vwap,crypto,UNIHOT,error,,,,,,,BlocksizeAPIError[-32603],internal error,180,0,
vwap,crypto,UNIHT,error,,,,,,,BlocksizeAPIError[-32603],internal error,178,0,
vwap,crypto,UNIIDEX,error,,,,,,,BlocksizeAPIError[-32603],internal error,162,0,
vwap,crypto,UNIILV,error,,,,,,,BlocksizeAPIError[-32603],internal error,190,0,
vwap,crypto,UNIIMX,error,,,,,,,BlocksizeAPIError[-32603],internal error,156,0,
vwap,crypto,UNILDO,stale,22.82784398550571,,,143502.5,2026-09-22T22:51:17.249000+00:00,upstream,,,171,1,age 143502s > 300s
vwap,crypto,UNILINK,stale,0.733701383731754,,,5367.5,2026-09-24T13:13:32.342000+00:00,upstream,,,156,1,age 5368s > 300s
vwap,crypto,UNILIT,stale,49.2626072541425,,,19816.0,2026-09-24T09:12:44.207000+00:00,upstream,,,154,1,age 19816s > 300s
vwap,crypto,UNILRC,error,,,,,,,BlocksizeAPIError[-32603],internal error,175,0,
vwap,crypto,UNIMATIC,ok,88.07049667075395,,,105.3,2026-09-24T14:41:15.267000+00:00,upstream,,,178,1,
vwap,crypto,UNIMATICX,error,,,,,,,BlocksizeAPIError[-32603],internal error,160,0,
vwap,crypto,UNIMKR,stale,0.006133539876513097,,,58840.1,2026-09-23T22:22:20.832000+00:00,upstream,,,162,1,age 58840s > 300s
vwap,crypto,UNIMLN,error,,,,,,,BlocksizeAPIError[-32603],internal error,158,0,
vwap,crypto,UNIMOG,error,,,,,,,BlocksizeAPIError[-32603],internal error,172,0,
vwap,crypto,UNIMUSD3,error,,,,,,,BlocksizeAPIError[-32603],internal error,180,0,
vwap,crypto,UNINEAR,error,,,,,,,BlocksizeAPIError[-32603],internal error,187,0,
vwap,crypto,UNIOCEAN,error,,,,,,,BlocksizeAPIError[-32603],internal error,157,0,
vwap,crypto,UNIONDO,error,,,,,,,BlocksizeAPIError[-32603],internal error,182,0,
vwap,crypto,UNIOXT,error,,,,,,,BlocksizeAPIError[-32603],internal error,173,0,
vwap,crypto,UNIPAXG,stale,0.002215992716454095,,,135594.5,2026-09-23T01:03:07.911000+00:00,upstream,,,154,1,age 135595s > 300s
vwap,crypto,UNIPYUSD,error,,,,,,,BlocksizeAPIError[-32603],internal error,163,0,
vwap,crypto,UNIQUICK,stale,986.6688396439832,,,88173.5,2026-09-23T14:13:29.353000+00:00,upstream,,,159,1,age 88173s > 300s
vwap,crypto,UNIREN,stale,3296.4000677437134,,,77682.3,2026-09-23T17:08:20.726000+00:00,upstream,,,175,1,age 77682s > 300s
vwap,crypto,UNISAND,error,,,,,,,BlocksizeAPIError[-32603],internal error,138,0,
